Cutoff_Key,Cutoff_Side,Retain_Pct,Retain_Ratio,Cutoff_Signed_Pct,Cutoff_Label
low_01,low,1,0.01,-1,L01
low_02,low,2,0.02,-2,L02
low_03,low,3,0.03,-3,L03
low_04,low,4,0.04,-4,L04
low_05,low,5,0.05,-5,L05
low_06,low,6,0.06,-6,L06
low_07,low,7,0.07,-7,L07
low_08,low,8,0.08,-8,L08
low_09,low,9,0.09,-9,L09
low_10,low,10,0.1,-10,L10
low_11,low,11,0.11,-11,L11
low_12,low,12,0.12,-12,L12
low_13,low,13,0.13,-13,L13
low_14,low,14,0.14,-14,L14
low_15,low,15,0.15,-15,L15
low_16,low,16,0.16,-16,L16
low_17,low,17,0.17,-17,L17
low_18,low,18,0.18,-18,L18
low_19,low,19,0.19,-19,L19
low_20,low,20,0.2,-20,L20
low_21,low,21,0.21,-21,L21
low_22,low,22,0.22,-22,L22
low_23,low,23,0.23,-23,L23
low_24,low,24,0.24,-24,L24
low_25,low,25,0.25,-25,L25
low_26,low,26,0.26,-26,L26
low_27,low,27,0.27,-27,L27
low_28,low,28,0.28,-28,L28
low_29,low,29,0.29,-29,L29
low_30,low,30,0.3,-30,L30
low_31,low,31,0.31,-31,L31
low_32,low,32,0.32,-32,L32
low_33,low,33,0.33,-33,L33
low_34,low,34,0.34,-34,L34
low_35,low,35,0.35,-35,L35
low_36,low,36,0.36,-36,L36
low_37,low,37,0.37,-37,L37
low_38,low,38,0.38,-38,L38
low_39,low,39,0.39,-39,L39
low_40,low,40,0.4,-40,L40
low_41,low,41,0.41,-41,L41
low_42,low,42,0.42,-42,L42
low_43,low,43,0.43,-43,L43
low_44,low,44,0.44,-44,L44
low_45,low,45,0.45,-45,L45
low_46,low,46,0.46,-46,L46
low_47,low,47,0.47,-47,L47
low_48,low,48,0.48,-48,L48
low_49,low,49,0.49,-49,L49
low_50,low,50,0.5,-50,L50
low_51,low,51,0.51,-51,L51
low_52,low,52,0.52,-52,L52
low_53,low,53,0.53,-53,L53
low_54,low,54,0.54,-54,L54
low_55,low,55,0.55,-55,L55
low_56,low,56,0.56,-56,L56
low_57,low,57,0.57,-57,L57
low_58,low,58,0.58,-58,L58
low_59,low,59,0.59,-59,L59
low_60,low,60,0.6,-60,L60
low_61,low,61,0.61,-61,L61
low_62,low,62,0.62,-62,L62
low_63,low,63,0.63,-63,L63
low_64,low,64,0.64,-64,L64
low_65,low,65,0.65,-65,L65
low_66,low,66,0.66,-66,L66
low_67,low,67,0.67,-67,L67
low_68,low,68,0.68,-68,L68
low_69,low,69,0.69,-69,L69
low_70,low,70,0.7,-70,L70
low_71,low,71,0.71,-71,L71
low_72,low,72,0.72,-72,L72
low_73,low,73,0.73,-73,L73
low_74,low,74,0.74,-74,L74
low_75,low,75,0.75,-75,L75
low_76,low,76,0.76,-76,L76
low_77,low,77,0.77,-77,L77
low_78,low,78,0.78,-78,L78
low_79,low,79,0.79,-79,L79
low_80,low,80,0.8,-80,L80
low_81,low,81,0.81,-81,L81
low_82,low,82,0.82,-82,L82
low_83,low,83,0.83,-83,L83
low_84,low,84,0.84,-84,L84
low_85,low,85,0.85,-85,L85
low_86,low,86,0.86,-86,L86
low_87,low,87,0.87,-87,L87
low_88,low,88,0.88,-88,L88
low_89,low,89,0.89,-89,L89
low_90,low,90,0.9,-90,L90
low_91,low,91,0.91,-91,L91
low_92,low,92,0.92,-92,L92
low_93,low,93,0.93,-93,L93
low_94,low,94,0.94,-94,L94
low_95,low,95,0.95,-95,L95
low_96,low,96,0.96,-96,L96
low_97,low,97,0.97,-97,L97
low_98,low,98,0.98,-98,L98
low_99,low,99,0.99,-99,L99
none_100,none,100,1.0,0,None
high_01,high,1,0.01,1,H01
high_02,high,2,0.02,2,H02
high_03,high,3,0.03,3,H03
high_04,high,4,0.04,4,H04
high_05,high,5,0.05,5,H05
high_06,high,6,0.06,6,H06
high_07,high,7,0.07,7,H07
high_08,high,8,0.08,8,H08
high_09,high,9,0.09,9,H09
high_10,high,10,0.1,10,H10
high_11,high,11,0.11,11,H11
high_12,high,12,0.12,12,H12
high_13,high,13,0.13,13,H13
high_14,high,14,0.14,14,H14
high_15,high,15,0.15,15,H15
high_16,high,16,0.16,16,H16
high_17,high,17,0.17,17,H17
high_18,high,18,0.18,18,H18
high_19,high,19,0.19,19,H19
high_20,high,20,0.2,20,H20
high_21,high,21,0.21,21,H21
high_22,high,22,0.22,22,H22
high_23,high,23,0.23,23,H23
high_24,high,24,0.24,24,H24
high_25,high,25,0.25,25,H25
high_26,high,26,0.26,26,H26
high_27,high,27,0.27,27,H27
high_28,high,28,0.28,28,H28
high_29,high,29,0.29,29,H29
high_30,high,30,0.3,30,H30
high_31,high,31,0.31,31,H31
high_32,high,32,0.32,32,H32
high_33,high,33,0.33,33,H33
high_34,high,34,0.34,34,H34
high_35,high,35,0.35,35,H35
high_36,high,36,0.36,36,H36
high_37,high,37,0.37,37,H37
high_38,high,38,0.38,38,H38
high_39,high,39,0.39,39,H39
high_40,high,40,0.4,40,H40
high_41,high,41,0.41,41,H41
high_42,high,42,0.42,42,H42
high_43,high,43,0.43,43,H43
high_44,high,44,0.44,44,H44
high_45,high,45,0.45,45,H45
high_46,high,46,0.46,46,H46
high_47,high,47,0.47,47,H47
high_48,high,48,0.48,48,H48
high_49,high,49,0.49,49,H49
high_50,high,50,0.5,50,H50
high_51,high,51,0.51,51,H51
high_52,high,52,0.52,52,H52
high_53,high,53,0.53,53,H53
high_54,high,54,0.54,54,H54
high_55,high,55,0.55,55,H55
high_56,high,56,0.56,56,H56
high_57,high,57,0.57,57,H57
high_58,high,58,0.58,58,H58
high_59,high,59,0.59,59,H59
high_60,high,60,0.6,60,H60
high_61,high,61,0.61,61,H61
high_62,high,62,0.62,62,H62
high_63,high,63,0.63,63,H63
high_64,high,64,0.64,64,H64
high_65,high,65,0.65,65,H65
high_66,high,66,0.66,66,H66
high_67,high,67,0.67,67,H67
high_68,high,68,0.68,68,H68
high_69,high,69,0.69,69,H69
high_70,high,70,0.7,70,H70
high_71,high,71,0.71,71,H71
high_72,high,72,0.72,72,H72
high_73,high,73,0.73,73,H73
high_74,high,74,0.74,74,H74
high_75,high,75,0.75,75,H75
high_76,high,76,0.76,76,H76
high_77,high,77,0.77,77,H77
high_78,high,78,0.78,78,H78
high_79,high,79,0.79,79,H79
high_80,high,80,0.8,80,H80
high_81,high,81,0.81,81,H81
high_82,high,82,0.82,82,H82
high_83,high,83,0.83,83,H83
high_84,high,84,0.84,84,H84
high_85,high,85,0.85,85,H85
high_86,high,86,0.86,86,H86
high_87,high,87,0.87,87,H87
high_88,high,88,0.88,88,H88
high_89,high,89,0.89,89,H89
high_90,high,90,0.9,90,H90
high_91,high,91,0.91,91,H91
high_92,high,92,0.92,92,H92
high_93,high,93,0.93,93,H93
high_94,high,94,0.94,94,H94
high_95,high,95,0.95,95,H95
high_96,high,96,0.96,96,H96
high_97,high,97,0.97,97,H97
high_98,high,98,0.98,98,H98
high_99,high,99,0.99,99,H99
